	hpo_chinese_name
癫痫发作	254
神经系统异常	183
肌肉组织异常	174
癫痫性脑病	73
黄疸	49
手足抽搐	48
语言障碍	48
智力残疾	47
抽动症	46
呼吸系统异常	42
免疫系统异常	41
胆汁淤积	34
语言发育迟缓	34
代谢紊乱/稳态失衡	34
消化系统异常	32
阵挛	31
癫痫持续状态	30
肝功能下降	27
高热惊厥	27
免疫缺陷	26
全面发育迟缓	26
癫痫性痉挛	25
心血管系统异常	24
头部和颈部的异常	24
血液和造血组织异常	23
不自主的抽动运动	21
多动	20
运动发育迟缓	20
发热	20
单纯型热性惊厥	18
面部抽动	17
运动障碍	16
身材矮小	16
肝功能衰竭	16
肌营养不良	15
严重的全脑发育迟缓	14
体壁的异常	14
脑电图，伴广泛性癫痫样放电	14
注意力缺陷多动障碍	14
贫血	13
内分泌系统异常	13
骨骼系统异常	12
脑电图局灶性癫痫样放电	12
低钾血症	11
部分性癫痫发作持续状态	11
呼吸困难	11
血小板异常	11
复杂性高热惊厥	10
脑白质营养不良	10
核黄疸	10
新生儿黄疸期延长	10
肌阵挛	9
腹泻	9
泌尿生殖系统异常	9
严重生长发育迟缓？	8
咖啡斑	8
四肢肌张力低下	8
肌张力异常	8
脑病	8
肝内胆汁淤积伴发作性黄疸	8
肺炎	8
自闭症行为	8
抽动样头部运动	7
喂养困难	7
心脏形态异常	7
血小板减少	7
蛋白尿	7
肢体异常	7
溶血性贫血	7
肝内胆汁淤积	7
运动异常	7
晕厥	7
糖尿病	7
注意力短暂	7
肌张力障碍	7
眼部异常	7
生长异常	7
失神发作	7
性腺发育不全	6
新生儿低血糖	6
腭裂	6
皮肤色素沉着异常	6
脑白质异常	6
癫痫样放电脑电图	6
扩张型心肌病	6
脑电图，伴广泛性多态癫痫样放电	6
胆汁性肝硬化	6
出生后生长迟缓	6
肌张力减退	6
糖代谢异常	6
肝脏异常	6
运动抽动	6
干骺端软骨发育异常	5
单侧多灶性癫痫样放电	5
脑白质弥漫性脱髓鞘	5
肾脏异常	5
低血糖	5
脑电图，过度换气诱发的全面性癫痫样放电	5
癫痫发病后的发育停滞	5
矮小	5
震颤	5
脑电图异常	5
多动性发作	5
神经发育异常	5
肌张力增高	5
肝硬化	5
先天性肌营养不良	5
婴儿痉挛	5
胆汁淤积性肝病	5
低血糖发作	5
上下呼吸道反复感染	5
小儿肌张力减退	5
高血糖	5
软骨异常	5
头痛	5
婴儿期喂养困难	5
睡眠肌阵挛	5
耳部异常	5
无汗症	5
血液肌酸激酶水平异常	5
脑白质发育不全	5
白内障	4
局灶性癫痫样放电，有限传播到对侧半球	4
皮疹	4
鱼鳞病	4
广泛新生儿肌张力低下	4
孤独症	4
局灶性癫痫发作	4
高胆红素血症	4
自身免疫性血小板减少症	4
支气管炎	4
1型糖尿病	4
全身皮肤异常	4
不明原因的发热	4
乙基丙二酸尿症	4
新生儿胆汁淤积性肝病	4
严重的全面性发育迟缓	4
结缔组织异常	4
心肌病	4
外胚层发育不良	4
头部异常	4
肌无力	4
心脏发育不全	4
先天性血小板减少	4
再生障碍性贫血	4
血清肌酸磷酸激酶升高	4
自身免疫性溶血性贫血	4
免疫系统生理机制的异常	4
脑白质发育不良	3
肌阵挛性痉挛	3
慢性肝功能衰竭	3
脑积水	3
泛发性无汗症	3
低血糖昏迷	3
反复发作性低血糖	3
急性肝功能衰竭	3
眼球运动异常	3
佝偻病	3
单侧肾发育不全	3
周期性麻痹	3
早晨肌阵挛样抽动	3
免疫球蛋白水平异常	3
低镁血症	3
脑瘫	3
骨骼发育不良	3
尿道下裂	3
酸中毒	3
肢体震颤	3
皮肤异常	3
小阴茎	3
肥厚性心肌病	3
胎儿产前发育或出生异常	3
咳嗽	3
低血糖脑病	3
恶性高热	3
呼吸衰竭	3
心律失常	3
严重白质脱髓鞘	3
肌阵挛性失神	3
无汗性外胚层发育不良	3
周围神经异常	3
肌肉组织发育不全	3
少汗性外胚层发育不良	3
近端指关节伸展过度	3
早产	3
肾病综合征	3
先天性白内障	3
多发性咖啡斑	3
肾功能不全	3
四肢肌肉乏力	3
少汗/多汗症	3
青少年的成年发病型糖尿病	3
肾上腺异常	3
阵发性发热	3
2型糖尿病	3
肝炎	3
表皮水疱	3
新生儿窒息	3
中枢神经系统脱髓鞘	3
心肌异常	3
妊娠期癫痫发作	3
肢带型肌营养不良症	3
抽动锁时的肌阵挛前棘波	3
神经系统功能异常	3
肾病	3
肌阵挛失张力发作	3
行走不能	3
听力障碍	3
广泛低肌张力	3
失神发作伴眼睑肌阵挛	3
先天性肾上腺发育不全	3
局灶性无热惊厥	3
具有高认知能力的自闭症	3
严重的产后生长发育迟缓	3
结肠腺癌	2
下肢肌张力增高	2
原发性肾上腺功能不全	2
线粒体数目异常	2
全面性阵挛性发作	2
纤毛运动异常	2
脑电图，伴枕部局灶棘慢波	2
脑电图伴中央颞区棘波	2
先天性中性粒细胞减少	2
神经发育延迟	2
尿崩症	2
反复感染	2
四肢瘫痪/四肢轻瘫	2
单核细胞增多	2
体温调节异常	2
乳酸酸中毒	2
社交发育迟缓	2
手指关节痉挛	2
四肢肌肉异常	2
新生儿高胆红素血症	2
血尿	2
男性性腺发育不良	2
肌肉痉挛	2
代谢酮症酸中毒	2
肌电图:肌强直性放电	2
新生儿胰岛素依赖型糖尿病	2
生长激素缺乏症	2
婴儿脑病	2
线粒体异常	2
手足发绀	2
限制性心肌病	2
早发性失神发作	2
胼胝体发育不良	2
白质脑病	2
小脑性共济失调与四足步态相关	2
线粒体丙酰辅酶A羧化酶（PCC）缺陷	2
神经纤维肉瘤	2
新生儿呼吸窘迫	2
哮喘	2
脑电图，伴额叶局灶棘慢波	2
皮肤色素脱失/色素沉着	2
恶心和呕吐	2
行走不稳	2
鱼鳞病样红皮病(大疱型)、大疱性鱼鳞病样角化过度症、显性遗传性先天性鱼鳞病、表皮松解性角化过度鱼鳞病	2
女性假两性畸形	2
苯丙氨酸代谢异常	2
脑电图，伴枕部局灶棘波。	2
呕吐	2
进行性脑病	2
甲基丙二酸血症	2
心脏和大血管畸形	2
脑电图，伴颞区局灶棘波	2
皮肤色素减退和色素沉着共存	2
脑电图，伴顶部局灶棘波	2
线粒体呼吸链缺陷	2
多指（趾）畸形	2
语言表达延迟	2
间质性肺疾病	2
肌强直	2
高钾血症	2
新生儿暂时性糖尿病	2
线粒体数量减少	2
嗜睡	2
脊肌萎缩	2
下肢远端肌无力	2
瓜氨酸代谢异常	2
肌酸磷酸激酶明显上升	2
不自主运动	2
甲基丙二酸尿症	2
肉碱代谢异常	2
血清乳酸增高	2
脑电图，伴颞区局灶棘慢波	2
皮肤溃疡	2
MRI脑白质高信号	2
肾小球异常	2
肾小管性酸中毒	2
头部血管异常	2
肾积水	2
功能性呼吸异常	2
中性粒细胞减少	2
下肢肌肉无力	2
痉挛性四肢轻瘫	2
脑电图，伴中央区局灶棘波	2
脑电图，伴额部局灶棘波	2
行走能力的丧失	2
脱髓鞘性感觉神经病	2
先天性大疱性鱼鳞病样红皮病	2
乙酰肉碱代谢异常	2
苯丙酮酸血症	2
溶血性尿毒症综合征	2
长期腹泻	2
骨骼形态异常	2
先天性溶血性贫血	2
生长延迟	2
周围神经脱髓鞘	2
先天性肝纤维化	2
肾上腺发育异常	2
左心室室间隔肥厚	2
书写痉挛	2
共济失调	2
先天性肾上腺增生症	2
偏头痛	2
纤毛运动障碍	2
发作性四肢瘫痪	2
步态不稳	2
双侧痉挛发作	2
肝纤维化	2
营养不良	2
听力异常	2
婴儿反复发作性低血糖	2
真两性畸形	2
高血压	2
脑电图，伴顶部局灶棘慢波	2
先天性鱼鳞病样红皮病	2
植物神经功能紊乱性少汗	2
鸟氨酸代谢异常	2
双系骨髓增生不良	2
失张力癫痫发作	2
不动纤毛	2
血清铜蓝蛋白降低	2
代谢性酸中毒	2
尿铜浓度异常	2
高腭	2
少汗症	2
MRI脑白质低信号	2
甲状腺生理异常	2
肾上腺功能不全	2
隐睾	2
男性假两性畸形	2
散发咖啡斑	2
行走困难	2
胆道闭锁	2
先天性脑病	2
脑血管系统的异常	2
低钾性周期性麻痹	1
空腹低血糖	1
第一掌骨骨骺缺失	1
动脉导管未闭	1
线粒体复合物IV活性下降	1
线粒体苹果酸酶减少	1
（消化道）蠕动异常	1
四肢肌肉无力	1
高同型半胱氨酸血症	1
外生殖器异常	1
脚趾偏离	1
线粒体形状异常	1
步态失衡	1
皮肤色素沉着	1
下肢水肿	1
桡骨发育不良	1
膀胱扩张	1
上肢骨骼异常	1
脊髓肿瘤	1
血糖浓度异常	1
小头畸形	1
红细胞生成异常	1
原发性甲状腺功能低下症	1
心血管系统形态异常	1
心脏扩大	1
血浆游离肉碱降低	1
醛固酮增多症	1
异常心电图	1
轻度产后发育迟缓	1
多态局灶性癫痫样放电	1
肝脏转氨酶升高	1
婴儿期致命性肝功能衰竭	1
高鸟氨酸血症	1
昏迷	1
甲状腺发育不全	1
下肢近端肌无力	1
卟啉尿症	1
酮尿	1
淋巴结炎	1
下眼睑浮肿	1
嗜铬细胞瘤	1
长链3羟辅酶A脱氢酶缺乏症	1
步态共济失调	1
线粒体ATP合成酶复合物活性降低	1
毛发异常	1
窒息发作	1
上肢肌强直	1
无睫毛	1
单谱系骨髓增生异常	1
多毛症	1
情绪波动	1
小下颌畸形	1
紫癜	1
运铁蛋白饱和度异常	1
阴蒂肥大	1
精氨酸代谢异常	1
毛细血管扩张	1
甲状腺炎	1
吸吮无力	1
Leber视神经萎缩	1
酮症酸中毒	1
弥漫性周围神经脱髓鞘	1
低铜血症	1
中度全面发育延迟	1
自伤行为	1
单指畸形	1
肉芽肿病	1
脑电图，过度换气诱发的癫痫样放电	1
情绪不稳	1
右室心肌病	1
尿多巴胺增高	1
下肢肌强直	1
线粒体复合物I活性降低	1
肾脏生理异常	1
舌头生理异常	1
心房心肌病	1
脾肿大	1
房间隔缺陷	1
血循环胰岛素样生长因子-1（IGF1）水平增加	1
新生儿张力减退	1
骶髂关节异常	1
胸痛	1
皮肤棘层松解	1
婴幼儿期的反复感染	1
喉软骨畸形	1
皮下的神经纤维瘤	1
视神经发育不全	1
复发性上呼吸道感染	1
慢性呼吸性酸中毒	1
关节炎	1
凝血因子X活性降低	1
低分子量蛋白尿	1
高挑身材	1
胎儿宫内发育迟缓	1
胰岛素依赖但非酮症性糖尿病	1
肾血管性高血压	1
线粒体内铁沉积异常	1
皮肤炎症反应	1
先天性左心畸形	1
多囊性肾发育不全	1
青春期胰岛素抵抗性糖尿病	1
致命型婴儿线粒体肌病	1
纯红细胞的发育缺陷	1
肢体肌张力障碍	1
消化道闭锁	1
全面性强直发作	1
系统性红斑狼疮	1
肝脏内线粒体DNA缺失	1
未能茁壮成长	1
室间隔缺损	1
脊柱异常	1
运动神经元的异常	1
肾萎缩	1
肾小球肾炎	1
非对称性中隔肥厚	1
提上睑肌异常	1
上运动神经元异常	1
骨髓增生性疾病	1
巨血小板	1
阵发性运动障碍	1
细胞免疫系统异常	1
毛发密度异常	1
对称性周围神经脱髓鞘	1
血小板增多	1
骨髓发育不良	1
局灶肌阵挛发作	1
反复肺炎	1
点头状痉挛	1
血红蛋白尿	1
毛发发育异常	1
室管膜下结节	1
眉毛稀疏	1
慢性溶血性贫血	1
线粒体复合物II活性降低	1
垂体功能减退症	1
肾小球病	1
局灶性自主神经癫痫发作伴反应改变	1
认知障碍	1
线粒体肿胀	1
毛发缺失	1
泌尿系统异常	1
尿液铜浓度增高	1
下颌骨喙突异常	1
呼吸道感染	1
心脏血管瘤	1
意识丧失	1
毛发分布异常	1
第二性征毛发异常	1
下肢脊髓小脑性疾病	1
偏瘫	1
神经语言障碍	1
口角提肌异常	1
皮肤糜烂	1
胆囊发育不全/发育不良	1
乳腺癌	1
头皮毛发异常	1
